type,name,description
hotel,Midway Residency,"Midway Residency located at 3rd Floor App 301, 143-A Sector, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53200 in Lahore, costs Rs12648 per night. Description: Check-out time: 12:00."
hotel,Hotel Royal Comfort,"Hotel Royal Comfort located at F788+W9X, opposite Emporium Mall, Trade Centre Commercial Area Phase 2 Johar Town, Lahore, Punjab 54000 in Lahore, costs Rs5218 per night. Description: Perfect for business and leisure travelers.."
hotel,hostel view garden,"hostel view garden located at 7 Shahrah Aiwan-e-Sanat-o-Tijarat, near china chowk, next to Askari bank, Jinnah Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: InternetWi-FiPoolsNo poolsNo hot tub."
hotel,WEDNESDAY HOMES,"WEDNESDAY HOMES located at address not available in Lahore, costs Rs12648 per night. Description: Perfect for business and leisure travelers.."
hotel,Prime Motel,"Prime Motel located at address not available in Lahore, costs Rs12648 per night. Description: InternetWi-FifreeServicesFront desk24-hourFull-service laundryParking & transportParkingfreeTransfer."
hotel,Hotel New Holiday,"Hotel New Holiday located at Zafar Ali Road, 2, Aziz avenue, Canal Rd, Lahore, 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 14:00."
hotel,Magnum Hotel 1,"Magnum Hotel 1 located at 18 B iqbal avenue phase one, Askari 1, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Affordable luxury with excellent service.."
hotel,Red flower hotel,"Red flower hotel located at 3 Fane Rd, Jogi Mohalla Mozang Chungi, Lahore, Punjab 54000 in Lahore, costs Rs4832 per night. Description: Check-out time: 11:00."
hotel,Executive Lodge,"Executive Lodge located at F8VQ+4JW, Block M Gulberg III, Lahore, Punjab in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,Al-Rasheed Boys Hostel,"Al-Rasheed Boys Hostel located at Punjab Region, 69-B, Akram Park Ghalib Market Gulberg III, Lahore, Punjab 54660 in Lahore, costs Rs12648 per night. Description: InternetWi-FiServicesFront desk24-hourFull-service laundryParking & transportParkingfreePetsNo pets."
hotel,hotel in lahore,"hotel in lahore located at G9VM+JHJ, Bahdarabad, Askari I Askari 1, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-out time: 12:00."
hotel,Shalimar Hotel,"Shalimar Hotel located at Main bazar Naran, Mansehra, Khyber Pakhtunkhwa in Batakundi, costs Rs12648 per night. Description: Perfect for business and leisure travelers.."
hotel,Red sky Family Couple Guest House,"Red sky Family Couple Guest House located at House.460 Raiwind Road Ali Town Lahore 53700, Lahore, Punjab 87340 in Lahore, costs Rs12648 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Marhaba Hotel,"Marhaba Hotel located at Band Rd, near City Terminal Hafiz Hotel, Kot Muhammad Nagra Town, Lahore, Punjab 54000 in Lahore, costs Rs20398 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Nice Place Al-Warda Hotel,"Nice Place Al-Warda Hotel located at F77R+MM7, main blvd, Block B Phase 1 Johar Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Perfect for business and leisure travelers.."
hotel,Dove Inn Hotel. (R-1 Block) Johar Town,"Dove Inn Hotel. (R-1 Block) Johar Town located at 975, Lahore in Lahore, costs Rs4176 per night. Description: Affordable luxury with excellent service.."
hotel,Mirafe's,"Mirafe's located at 52 D new, Tipu Block Garden Town, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Windmills Hotel,"Windmills Hotel located at G953+33X, Riaz Ali Shah Rd, Block B2 Block B 2 Gulberg III, Lahore, Punjab 54000 in Lahore, costs Rs12648 per night. Description: Ideal for short and long stays.."
hotel,"Multazam Heights, DHA Phase 8 - Three Bedrooms Family Apartments - Three-Bedroom Apartment","Multazam Heights, DHA Phase 8 - Three Bedrooms Family Apartments - Three-Bedroom Apartment located at address not available in Lahore, costs Rs18675 per night. Description: DetailsMultazam Heights, DHA Phase 8 - Three Bedrooms Family Apartments is located in Lahore, 24 km from Wagah Border, 9.1 km from Army Museum Lahore, and 9.2 km from Ayub Stadium. This apartment provides free private parking, a lift and free WiFi. The fireplace is the standout feature of this apartment. Boasting a private entrance, this spacious apartment also includes 1 living room, 3 separate bedrooms and 3 bathrooms with a shower. Guests can make meals in the kitchen that is fitted with a refrigerator, a dishwasher, an oven and a microwave. This air-conditioned apartment features a dining area, a flat-screen TV with streaming services a washing machine and a terrace. The unit has 12 beds.."
