address,ishostedbysuperhost,location_lat,location_lng,name,numberofguests,pricing_rate_amount,pricing_rate_amountformatted,pricing_rate_currency,pricing_ratetype,primaryhost_firstname,primaryhost_hasprofilepic,primaryhost_hosturl,primaryhost_id,primaryhost_languages_0,primaryhost_languages_1,primaryhost_languages_2,primaryhost_languages_3,primaryhost_membersince,primaryhost_responserate,primaryhost_responsetime,primaryhost_smartname,roomtype,stars,primaryhost_about,identity_verified,review_count,identity_verified_1,review_count_1
"Karachi, Sindh, Pakistan",False,24.844,67.038,2020,16.0,23.0,23.0,USD,nightly,Chaudhry,1.0,https://www.airbnb.com/users/show/369273591,369273591.0,English,English,Punjabi,Pashto,Not Available,0.22,a few days or more,Chaudhry,Private room,5.0,self made,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.51961,73.09235,"""2F3"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,25.0,25.0,USD,nightly,Muhammad Yaseen,1.0,https://www.airbnb.com/users/show/302531405,302531405.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Muhammad Yaseen,Private room,5.0,"I am a hospitable person and I always try to full fill my guest's needs. I own Hotel Vista Inn DHA 1f, which is Registered with DTS and PHA. Best location of DHA phase 1 Islamabad. I hope my future guests will have a good time staying at my property.",False,1,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.70037,73.00893,"""La Casa de Versace"" Versace themed apt in F10.",4.0,63.0,63.0,USD,nightly,Arif,1.0,https://www.airbnb.com/users/show/389359479,389359479.0,Urdu,English,Punjabi,Pashto,Not Available,0.92,within an hour,Arif,Entire place,4.63,Not Available,False,38,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.51987,73.09032,"""LG1"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,25.0,25.0,USD,nightly,Muhammad Yaseen,1.0,https://www.airbnb.com/users/show/302531405,302531405.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Muhammad Yaseen,Private room,5.0,"I am a hospitable person and I always try to full fill my guest's needs. I own Hotel Vista Inn DHA 1f, which is Registered with DTS and PHA. Best location of DHA phase 1 Islamabad. I hope my future guests will have a good time staying at my property.",False,1,False,0
"Lahore, Punjab, Pakistan",False,31.42933,74.25051,"""Studio Private Room in Peaceful location.""",2.0,21.0,21.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/281716257,281716257.0,English,हिन्दी,ਪੰਜਾਬੀ,Español,Not Available,0.6640330788804072,unknown,Muhammad,Private room ,5.0,"I Speak English, Spanish, Punjabi and Hindi",False,15,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.56545,73.11745,“A perfect stay in Twin city”  1Bed| self check in,5.0,34.0,34.0,USD,nightly,Ahmed,1.0,https://www.airbnb.com/users/show/149923184,149923184.0,English,हिन्दी,Punjabi,Pashto,Not Available,1.0,within an hour,Ahmed,Entire place,4.78,"Hi, I’m Ahmed. I’m an entrepreneur. Airbnb was my side hustle but I’m looking forward to take this to a different level. I have a team setup to ensure that you have a comfortable stay. 

Listings in F-8/F10/E11/Bahria town.",False,273,True,0
"Lahore, Punjab, Pakistan",True,31.37246,74.18798,"“Airûtel Studio Room” Bahria town, Lahore.",2.0,18.0,18.0,USD,nightly,Hilal,1.0,https://www.airbnb.com/users/show/196368049,196368049.0,العربية,English,हिन्दी,ਪੰਜਾਬੀ,Not Available,1.0,within an hour,Hilal,Entire place,4.69,"Hi! I'm Hilal, A professional host who runs multiple properties in Lahore, Pakistan. I grew up in middle east and have been living there for most of my life and moved back to Pakistan back in 2017. I'm optimistic, cheerful and love communicating with people. And take real pleasure in hosting and helping people explore the area and its surroundings! I'm an explorer myself and I find it enlightening to visit new countries and learn about the local cultures. Aside from speaking English, I'm fluent in Urdu, Pashto & Persian. 
P.S - if you come across any hurdle during your stay or prior to your booking, Better call Hilal!",False,114,True,0
"Lahore, Punjab, Pakistan",False,31.46313,74.44952,(Family Only) Private Bedroom in a Luxurious House,3.0,23.0,23.0,USD,nightly,Sharjeel,1.0,https://www.airbnb.com/users/show/132316195,132316195.0,English,English,Punjabi,Pashto,Not Available,0.9,within a day,Sharjeel,Private room ,5.0,Not Available,False,9,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.63598,72.92823,*NEW & Revamped* 2BHK Fernweh Zen,4.0,39.0,39.0,USD,nightly,Kay,1.0,https://www.airbnb.com/users/show/334266851,334266851.0,English,हिन्दी,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Kay,Entire place,4.85,I love to decorate my space and share it with travellers/ guests to live in a piece of Pakistan that i created and enjoy culture/ hospitality of we “The Pakistanis”. Its a passion and always an amazing experience to host people from around the globe. I believe travel beings us together,False,216,True,0
"Lahore, Punjab, Pakistan",False,31.58666,74.20278,#Privacy #Private #Secure #Security #3315676942,6.0,54.0,54.0,USD,nightly,Zaheer,1.0,https://www.airbnb.com/users/show/199107887,199107887.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Zaheer,Entire place,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.96846,67.17139,02 bedroom with attached bathrooms and kitchen,4.0,46.0,46.0,USD,nightly,Imran,1.0,https://www.airbnb.com/users/show/433013230,433013230.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Imran,Private room,5.0,Not Available,True,0,False,0
