city,brand_name,car_name,car_type,class,price_per_day,doors,luggage,passengers,transmission,ac,theft_protection,clean_interior,clean_exterior,image
Islamabad,Suzuki,Wagon R ,VXR,Economy,"Rs 3,500",4,2,4,Auto,Yes,Yes,Yes,Yes,https://tyrepoint.pk/wp-content/uploads/2018/08/Suzuki-WagonR-tyrepoint.pk-1.jpg
Islamabad,Suzuki,Wagon R ,VXL,Economy,"Rs 3,750",4,1,4,Auto,Yes,Yes,Yes,Yes,https://suzukifortmotors.com/wp-content/uploads/2020/12/WagonR-G-grey.jpg
Islamabad,Honda,City ,1.3 i-VTEC Prosmatec,Standard,"Rs 4,500",4,3,4,Auto,Yes,Yes,Yes,Yes,https://cache2.pakwheels.com/system/car_generation_pictures/5261/original/city.jpg?1595597984
Islamabad,Suzuki,Wagon R ,VXR,Standard,"Rs 4,500",4,1,4,Auto,Yes,Yes,Yes,Yes,https://tyrepoint.pk/wp-content/uploads/2018/08/Suzuki-WagonR-tyrepoint.pk-1.jpg
Islamabad,Toyota,Corolla,GLi 1.3 VVTi,Standard,"Rs 4,999",4,2,4,Auto,Yes,Yes,Yes,Yes,https://cache1.pakwheels.com/system/car_generation_pictures/5361/original/Corolla-X-Cars-Cropped-Pictures-for-Website.jpg?1606903674
Islamabad,Toyota,Yaris,ATIV X CVT 1.5,Standard,"Rs 4,999",4,3,4,Auto,Yes,Yes,Yes,Yes,https://cache2.pakwheels.com/system/car_version_specification_pictures/288/original/13.jpg?1679052337
Islamabad,Honda,City ,1.3 i-VTEC Prosmatec,Standard,"Rs 5,000",4,3,4,Auto,Yes,Yes,Yes,Yes,https://cache2.pakwheels.com/system/car_generation_pictures/5261/original/city.jpg?1595597984
Islamabad,Honda,BR-V,i-VTEC S,Comercial,"Rs 5,899",4,4,7,Auto,Yes,Yes,Yes,Yes,https://cache1.pakwheels.com/system/car_generation_pictures/6430/original/Honda_BRV_Front.jpg?1652159445
Islamabad,Honda,BR-V,i-VTEC ,Comercial,"Rs 5,999",4,4,7,Auto,Yes,Yes,Yes,Yes,https://cache1.pakwheels.com/system/car_generation_pictures/6430/original/Honda_BRV_Front.jpg?1652159445
Islamabad,Honda,BR-V,i-VTEC ,Comercial,"Rs 6,300",4,4,7,Auto,Yes,Yes,Yes,Yes,https://cache1.pakwheels.com/system/car_generation_pictures/6430/original/Honda_BRV_Front.jpg?1652159445
Islamabad,Honda,Civic,Oriel 1.8 i-VTEC CVT,Standard,"Rs 6,499",4,2,4,Auto,Yes,Yes,Yes,Yes,https://cache3.pakwheels.com/system/car_generation_pictures/6000/original/Civic_10th_Gen_-_PNG.png?1635418859
