name,description,category,address,city,availability,rating,image1,image2,image3
Faisal Masjid,"Established in 1987, this iconic contemporary mosque is designed to resemble a Bedouin tent.",Mosque,"Shah Faisal Ave, E-8, Islamabad, Islamabad Capital Territory 44000",Islamabad,Open 24 Hours,4.8,https://lh3.googleusercontent.com/p/AF1QipNYL85MeaFuDY4vsigV1wSGcZKal5LzBsn7i-5y=s294-w294-h220-k-no,https://lh3.googleusercontent.com/proxy/LCP_P5bFfV_WchgfmvLgNCsHZ8uj8JHuXwr1W7QiNhN0jBryk9PDu3W-YGReqILARTJ4gOQYIxr5b_mRn_XPXFB8AjxN24qerYFGe6OqC0_qRTtsgTMHlObuItMYAKll8FkmFXPga8bRs4S18NlRxTAA7mkd8A=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPKpeQo15BRo_PMl6gAgRF9cKoNQ5hJno6WVVTe=s294-w294-h220-k-no
Pakistan Monument ,"Dedicated to national unity, this monument is shaped like blooming flower petals & houses a museum.",Monument,"M3V9+2Q9 Shakarparian Hills, Srinagar Hwy, Islamabad, Islamabad Capital Territory",Islamabad,Open. Closes 9pm,4.6,https://lh5.googleusercontent.com/p/AF1QipP0Jm6PzMbBn4TViz9d_HWS_p-k0DE5Jjtg5NYb=w408-h455-k-no,https://lh3.googleusercontent.com/p/AF1QipME9bGyRNJk08Lrhyzf04m5Cpn46UW1wbqQTV_0=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipMBEGcf3vDIzN5a0z2BbG1Tq2XixHu1qspNp0wL=s294-w294-h220-k-no
Daman-e-Koh,"Elevated park area with manicured grounds & sweeping views of the city, lake & Faisal Mosque.",Tourist Attraction,"Daman-e-Koh Rd, E-7, Islamabad, Islamabad Capital Territory 44000",Islamabad,Open. Closes 11pm,4.6,https://lh3.googleusercontent.com/p/AF1QipMFlYeGO65qLP4nJQYr1VXZmJZAehJabPEBpf1v=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPI2DVhBuQ_WIhzp_ZoQ5MD_syS8ZZXm3UVYtOo=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPcFI2ekK2y1nPsWF4KEVZaUm6aXbhzyuOCpgw=s294-w294-h220-k-no
Lok Virsa Heritage Museum ,"Sprawling ethnology museum with exhibits focused on Pakistani heritage, art & living history.",Heritage Museum,"Garden Avenue, Shakarparian Rd, Islamabad, Islamabad Capital Territory",Islamabad,Open. Closes 8pm,4.6,https://lh3.googleusercontent.com/p/AF1QipOcYu6uNQUqwE_Z1LCGyI3gI6fAUsaBvM4tRZ9K=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipME5FInf2Sq3S_VDZ9crt_MtwcReuVL-IhrfTQX=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPwZ-mggbrjJNmEDo81JUZZ5EjrCn2P-kZ2iMVs=s294-w294-h220-k-no
Shakarparian National Park,"Famous viewpoint & home of the Pakistan Monument, as well as gardens & a museum.",National Park,"Islamabad Expy, Islamabad, Islamabad Capital Territory 44000",Islamabad,Open. Closes 8:30am,4.5,https://lh3.googleusercontent.com/p/AF1QipO3apPZzpgYJydPYFaNsS2F9jWMB3YtkM04vlAb=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPuC8I7TeYn7loeySTlPRUpvaBCQeWhmIekOG4n=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipNAz0cz-mluMSHZVbcGVJK7uMQUN1q4QyUieKha=s294-w294-h220-k-no
Lake View Point,"Wildlife park & recreation area featuring boating, fishing, picnicking, a shelter, paintball & more.",Park and Garden,"Murree Rd, LAKE VIEW PARK, Islamabad, Islamabad Capital Territory 49510 ",Islamabad,Open. Closes 10pm,4.5,https://lh3.googleusercontent.com/p/AF1QipMwZyEnrvBAzXMNMYoGc4QGcgoA-1RHrUgldO25=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPVMaV2HghcGBKT1YgGfDBNilv9MmdgQHBhhd_g=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipONDaKpPFNRQh439NAhLMzDo1UfRuBWi_eDzssq=s294-w294-h220-k-no
Fatima Jinnah Park (F-9 Park),"Paths through a vast, semi-wild nature area home to boars & foxes, plus a sport complex & monuments.",Park and Garden,"Megazaone Entertainment Hub, Gate # 2 Bolan, F-9 Park F-9, Islamabad, Islamabad Capital Territory 44000",Islamabad,Open. Closes 2am,4.6,https://lh3.googleusercontent.com/p/AF1QipMF2U2klHsO2-9J7Ozt9BAd9dQ9TpzS-AC0LP-G=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipNTex4qacuwUtBqsM9b1NDnd8JGxuJ9unEJilg=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipMw9pdNdmqmblrBig2G3EaNQ14Jw6WBOkbOY3oS=s294-w294-h220-k-no
Margalla Hills National Park,Boundary of extensive national park in the Himalayan foothills rich in animal & bird life.,National Park,"P2X4+62H, Islamabad, Islamabad Capital Territory",Islamabad,Open 24 Hours,4.6,https://lh3.googleusercontent.com/p/AF1QipMzzQb4E0US9AU7h8SJ7MbaQ_vrNTHpJglk0719=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPkJ2UBtbuo3-_gZ-5J18EYZ-WQ4Ai5W1rQN_zy=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPDTG9o9hO8TEdB3tmwjx2gzeiI7axLrdmApVZ3=s294-w294-h220-k-no
Rawal Lake,"Picnics, boating, fishing & wildlife viewing at a reservoir with Margalla and Murree hill views.",Lake,"Islamabad, Islamabad Capital Territory ",Islamabad,Not Available,4.4,https://lh3.googleusercontent.com/p/AF1QipNJDVtuzr5MUqB4UDCOp2KfvMeUEAND3zArrY5M=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipPcu5TnnrOs3RE9jJ1BXyE-5q3Ny6PVZgIHEkup=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipNPwTVc1JlLC6a-lg14dRVEDRfALRKcbjJ0f1dc=s294-w294-h220-k-no
Centaurus Mall,"Sleek, upmarket retail complex with 300+ stores & a food court, plus a cinema & amusement park.",Shopping Centre,"4 Jinnah Avenue, F 8/4 F-8, Islamabad, Islamabad Capital Territory 44220",Islamabad,Open. Closes 11pm,4.4,https://lh3.googleusercontent.com/p/AF1QipPYZC5N63lK4QrCHV25vzSfVKtHisbdYweCmEg6=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipOM0vjEsXTnCber6Cj-gv40e7uf9XS9fm5rtPMA=s294-w294-h220-k-no,https://lh3.googleusercontent.com/p/AF1QipMF4rOKcMrWof0ubXL3h2abGBCo3IywewWdrYyz=s220-w165-h220-k-no
