date,name,departure_time,price,cruise,starting,ending
2024-09-12,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (Pirwadhai),Lahore
2024-09-12,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-12,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-12,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-12,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Rawalpindi,Lahore Thokar
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Rawalpindi,Lahore Kalma Chowk
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Rawalpindi,Lahore Thokar
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Rawalpindi,Lahore Kalma Chowk
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-12,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-12,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-13,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (Pirwadhai),Lahore
2024-09-13,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-13,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-13,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-13,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Rawalpindi,Lahore Thokar
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Rawalpindi,Lahore Kalma Chowk
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Rawalpindi,Lahore Thokar
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Rawalpindi,Lahore Kalma Chowk
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Thokar
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,"Rawalpindi (Faizabad, Isb)",Lahore Kalma Chowk
2024-09-13,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Islamabad,Lahore
2024-09-13,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Islamabad,Lahore
2024-09-14,Road Master Bus President Cruise,12:30 AM,2680.0,President Cruise,Rawalpindi (Pirwadhai),Lahore
2024-09-14,Road Master Bus President Cruise,12:30 AM,2680.0,President Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-14,Road Master Bus Premium Cruise,12:30 AM,1990.0,Premium Cruise,Islamabad (FZB),Lahore
2024-09-14,Road Master Bus Premium Cruise,12:30 AM,1990.0,Premium Cruise,Rawalpindi (26 No. ISB),Lahore
2024-09-14,FM Bilal Travel Luxury,12:30 AM,1700.0,Luxury,Rawalpindi Faizabad,Lahore
2024-09-14,FM Bilal Travel Luxury,12:30 AM,1700.0,Luxury,Rawalpindi Kohistan Exp,Lahore
2024-09-14,FM Bilal Travel Luxury,12:30 AM,1700.0,Luxury,Rawalpindi 26 No,Lahore
2024-09-14,Daewoo Express Gold Class,12:30 AM,2793.4294871794873,Gold Class,Rawalpindi,Lahore Thokar
