date,name,departure_time,arrival_time,price,cruise,starting,ending
2024-09-12,103UP 103Up - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-12,104DN 104Dn - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-13,104DN 104Dn - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-13,106DN 106Dn - Rawal Express,00:30:00,04:45:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-13,103UP 103Up - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-13,105UP 105Up - Rawal Express,00:30:00,04:55:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-14,104DN 104Dn - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-14,106DN 106Dn - Rawal Express,00:30:00,04:45:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-14,103UP 103Up - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-14,105UP 105Up - Rawal Express,00:30:00,04:55:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-15,104DN 104Dn - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-15,106DN 106Dn - Rawal Express,00:30:00,04:45:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-15,103UP 103Up - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-15,105UP 105Up - Rawal Express,00:30:00,04:55:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
2024-09-16,104DN 104Dn - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-16,106DN 106Dn - Rawal Express,00:30:00,04:45:00,1173.0,Cheapest,Rawalpindi,Lahore Jn
2024-09-16,103UP 103Up - Subak Kharam,16:30:00,21:35:00,1173.0,Cheapest,Lahore Jn,Rawalpindi
