name,rating,category
Midway Residency,4.235399465369494,Hotels
Hotel Royal Comfort,5.0,Hotels
hostel view garden,4.7,Hotels
WEDNESDAY HOMES,4.6,Hotels
Prime Motel,4.1,Hotels
Hotel New Holiday,4.8,Hotels
Magnum Hotel 1,2.5,Hotels
Red flower hotel,4.428571428571429,Hotels
Executive Lodge,4.7,Hotels
Al-Rasheed Boys Hostel,4.5,Hotels
hotel in lahore,4.714285714285714,Hotels
Shalimar Hotel,4.128205128205129,Hotels
Red sky Family Couple Guest House,5.0,Hotels
Marhaba Hotel,3.2333333333333334,Hotels
Nice Place Al-Warda Hotel,5.0,Hotels
Dove Inn Hotel. (R-1 Block) Johar Town,4.75,Hotels
Mirafe's,3.35,Hotels
Windmills Hotel,3.65,Hotels
"Multazam Heights, DHA Phase 8 - Three Bedrooms Family Apartments - Three-Bedroom Apartment",4.235399465369494,Hotels
Golf View luxury icon suites,4.8,Hotels
Second Home Group of Hostels ||Johar Town,4.3,Hotels
Bambino Hotel,4.8,Hotels
Light Family Couple Guest House,3.851851851851852,Hotels
Hotel Family Couple,4.444444444444445,Hotels
Hotel Sky Inn,4.3,Hotels
City Palace Two Hotel,3.9705882352941178,Hotels
Dove Inn Girls Hostel,4.384615384615385,Hotels
Oriole Guest House,3.851851851851852,Hotels
Fortress Star Hotel,4.222222222222222,Hotels
430,4.444444444444445,Hotels
Jahangir Villa Guest House (for ladies only),4.763636363636364,Hotels
Flexi dreams hospitality services Islamabad,3.9705882352941178,Hotels
Kamran Travel,4.218181818181818,Hotels
Grand Islamabad Hotel,4.384615384615385,Hotels
Continental Boys Hostel Model Town,3.64,Hotels
Hotel Daffodils,4.222222222222222,Hotels
Regale Internet Inn,3.4814814814814814,Hotels
Executive Hospitality (Hotel & Resort) Islamabad,4.763636363636364,Hotels
Eastern Lodge Guest House,3.7083333333333335,Hotels
Canadian Inn Hotel Islamabad,4.218181818181818,Hotels
Uptown 86 Executive Residency (Girls only),4.122222222222222,Hotels
Hotel Tulip Inn,3.64,Hotels
